Department,Year,Abstract_Title,Abstract_Description,Sponsors1,Sponsors2,Sponsors3,PI/PDs1,PI/PDs2,PI/PDs3
School of Accounting,2021,"Audit Partner Masculinity, Audit Pricing, and Audit Quality","Biology research finds that more masculine faced men are associated with greater ambition, a stronger desire to win, and less interpersonal trust. We examine the consequences of this trait for both audit pricing and audit quality. We find that audit part",Oklahoma State University, Stoney Brook University," Rutgers, the State University of New Jersey",Bradley P. Lawson,,
School of Accounting,2021,Do Breaches of Public Trust Influence Nonprofessional Investors’ Perceptions of Auditor Credibility?,"Audit quality is challenging to observe. Therefore, investors must rely on publicly available indicators such as PCAOB inspection reports. Source credibility theory suggests that the auditor’s inspection deficiency rate could signal perceived expertise",Oklahoma State University, University of Louisville, DePaul University,Leah Muriel,,
School of Accounting,2021,Where to Whistleblow? The Consequences of Reward and Retaliation Provisions for Intrinsically Motivated Individuals,"Differing provisions in the EU and US exist to encourage whistleblowing. We examine how individuals with self-reported high intrinsic motivation (financial audit experience), respond to retaliation protection measures and an external reward opportunity. ",Oklahoma State University, Universidad Adolfo Ibanez, The University of Tennessee,Leah Muriel,,
School of Accounting,2021,Is the reporting of critical audit matters associated with information overload and does that affect nonprofessional investors’ perceptions of audit quality and investment risk?,The Public Company Accounting Oversight Board (PCAOB) recently adopted a new standard that requires the auditor to report critical audit matters (CAMs) within the audit report. We find that the presence of a CAM is associated with higher perceptions of a,Oklahoma State University, Clemson University, Iowa State University,Leah Muriel,,
School of Accounting,2021,A Cross-Language Analysis of Disclosure Properties: Evidence from Hong Kong,"Using the setting of Hong Kong, we examine how the linguistic properties of financial disclosure differ across languages. Firms listed on the Hong Kong Stock Exchange publish annual reports in both English and Chinese. We find that English reports are mo",Oklahoma State University,University of Nevada, Reno,Sandeep Nabar, Kent Hu,
School of Accounting,2021,CFO Characteristics and Accruals Earnings Management,We examine the association between CFO characteristics and accruals earnings management (AEM).  We find that the CFO’s internal power and the CFO’s career horizon are both negatively related with AEM.,Oklahoma State University,,,Sandeep Nabar, Yahya Abdullah,
School of Accounting,2021,The Impact of Benefit Plan Audits on the Financial Statement Audit,"We explore the implications of benefit plan audits for the financial statement audit. We find that performing a benefit plan audit increases the likelihood that the firm will be selected as a company’s financial statement auditor. Further, we find that",Oklahoma State University, Michigan State University, University of Arkansas,Jaclyn Prentice,,
School of Accounting,2021,The Effect of Analyst Conservatism on Meeting the Consensus Via Earnings Management,Little is known about the impact of conservative analysts on firm management. We examine the effect of analyst conservatism on firms meeting the consensus via accrual-based earnings management. We find that firms with a more conservative analyst followin,Oklahoma State University," University of Nebraska-Kearney
PI/PDs",,Matt Bjornsen,,
School of Accounting,2021,Does Insider Trading Affect Auditors’ Risk Assessments? Evidence from Audit Pricing,Audit regulations require auditors to consider insider trading as part of their risk assessment. Companies file Form 4 with the SEC when insiders trade. We find that the number of requests for Form 4 in the SEC EDGAR online system is positively associate,Oklahoma State University, Texas Tech,,Jaclyn Prentice,,
School of Accounting,2021,"Goodbye and hello: audit quality, the Big 4, and acquiring consulting practices","The largest accounting firms have been acquiring consulting practices for the last decade. I find that the audit quality of the companies being audited by the accounting firm acquiring a large consulting practice decreases in the year of the acquisition,",Oklahoma State University,,,Jaclyn Prentice,,
School of Accounting,2021,Are Analysts’ Forecast More Informative than a Random Walk Model of Earnings Before Extraordinary Items in the Presence of Special Items?,"The purpose of this study is to determine whether analysts’ forecasts outperform a simple random walk model in the presence of special items, both positive and negative.  Prior research shows that special items have market and future earnings implicati",Oklahoma State University,,,William C. Schwartz, Jr. and Craig A. Sisneros,
School of Accounting,2021,"Multiemployer Pension Plans: Disclosure and Recognition Requirements, Recent Legislation, and Firm Responses","Multiemployer pension plans provide retirement benefits to retired employees of all firms that contribute. However, the assets in the fund are combined and the obligation to pay an employee remains even if that specific employee’s former employer leave",Oklahoma State University,,,Bryan Brockbank, William C. Schwartz," Jr., Craig A. Sisneros"
School of Accounting,2021,Empirical Implications of Incorrect Tax Rate Assumptions,"The objective of this study is to explore the empirical consequences of assuming an incorrect tax rate in adjusting special items. Our evidence suggests extreme tax rate assumptions, in particular the highest statutory rate, are especially problematic an",Oklahoma State University, University of Texas at Dallas, University of Alabama,Craig A. Sisneros,,
School of Accounting,2021,Bridging the Gap: Responding to a Reduction of Accounting Principles in the Business Core,We use the natural experiment provided by curriculum change to analyze assessments of students’ financial accounting understanding given alternate paths into the first intermediate financial course.  A new “bridge” course was created for accounting,Oklahoma State University,,,Bryan G. Brockbank, Craig A. Sisneros, Angela Wheeler Spencer
School of Accounting,2021,Toward Equitable Remediation: Insights from a Natural Experiment in Financial Accounting,"A curriculum change provided a natural experimental setting to examine the efficacy of several methods of alleviating a significant gap in knowledge created by the change. Students were given three options: Self-study and a ""gateway"" examination; a self-",Oklahoma State University,,,Bryan G. Brockbank, Craig A. Sisneros, Angela Wheeler Spencer
School of Accounting,2021,An Analysis of the Historical Analysis and Future Outlook for Sustainability Reporting,"Sustainability reporting holds the promise to significantly improve the decision-relevant information set available to capital providers and other stakeholders of firms and organizations. However, the current set of sustainability information is often un",Oklahoma State University, The University of Mississippi,,Angela Wheeler Spencer,,
School of Accounting,2021,Special Purpose Vehicles and Audit Fees,"In this paper, we investigate the relationship between audit fees and special purpose vehicles (SPVs). SPVs are separate entities that inherently increase the underlying complexity of firm operations. Further, during the period examined here (2000-2009),",Oklahoma State University, The University of Mississippi,,Angela Wheeler Spencer,,
School of Accounting,2021,Remediation of Knowledge Gaps for Underrepresented Minority Students: Insights from a Natural Experiment in Financial Accounting,A curriculum change from the traditional two semesters of introductory accounting to a one semester survey course provided a natural experimental setting to examine the efficacy of several methods of alleviating a significant gap in knowledge created by ,Oklahoma State University,,,Bryan G. Brockbank, Craig A. Sisneros, Angela Wheeler Spencer
School of Accounting,2021,The Impact of Increased Managerial Discretion and of Adoption Disclosure Transparency on the Usefulness of Reported Revenues: Evidence from Accounting Standard Updates for Multiple-Deliverable Sales Arrangements,Research suggests that revenue recognition accounting standards which restrict management discretion resulted in improved faithful representation but reduced relevance of revenues. We use the adoption of Accounting Standards Updates 2009-13 and 2009-14 t,Oklahoma State University, University of Tennessee, Brigham Young University,Michael Stuart,,
School of Accounting,2021,CEO Partisan Bias and Management Earnings Forecast Bias,Political science research finds individuals exhibit overly favorable economic expectations when their partisanship aligns with that of the US president. We examine whether this partisan bias is present in management earnings forecasts. We find that firm,Oklahoma State University, Queen’s University, Vanderbilt University,Michael Stuart,,
School of Accounting,2021,The Effect of Voluntary Accounting Policy Changes on Earnings Informativeness,"While voluntary accounting policy changes (VAPCs) enable managers to better present the firm’s financial position and results as circumstances change, they may be used to opportunistically influence earnings. We examine the impact of the method of acco",Oklahoma State University, Queen’s University, Vanderbilt University,Michael Stuart,,
School of Accounting,2021,CEO Political Alignment and Corporate Tax Avoidance,"We investigate the impact of CEOs’ sentiment towards the government on firms’ tax avoidance behavior. We proxy for CEOs’ attitudes toward the government using their political alignment with the US president, where a politically aligned CEO is expec",Oklahoma State University, Queen’s University, University of Texas at El Paso,Michael Stuart,,
School of Accounting,2021,The Substance of Enduring Relationships: Interpreting Auditor Tenure,A public company’s auditor must now disclose in the audit report the year it began serving as the company’s auditor. Yet the interpretation of auditor tenure is unclear. We address this gap in understanding by examining what characteristics of an aud,Oklahoma State University, Vanderbilt University,,Michael Stuart,,
School of Accounting,2021,Does How Managers Answer an Analyst’s Questions during an Earnings Call Matter?,"Earnings calls are quarterly interactive conference calls in which firm managers present corporate financial information and address questions from call participants. We examine whether, and, if so, in which direction, the tone of managers’ responses t",Oklahoma State University, Vanderbilt University,,Michael Stuart,,
School of Accounting,2021,The Effects of Independent Director Litigation Risk,"The unexpected In re Investors Bancorp decision in 2017 by the Delaware Supreme Court lowered the liability threshold only for directors in derivative litigation over their own equity grants, increasing their future litigation risk. Investors and firms r",Oklahoma State University, University of Iowa, Texas A&M University,Elizabeth Tori,,
School of Accounting,2021,Rival Firms’ Response to a Competitor’s Bankruptcy: Can Press Releases Facilitate a Competitive Advantage?,"I investigate how rival firms alter their voluntary disclosures, specifically their press releases, following a competitor’s bankruptcy. I find that rival firms increase their product-related, but not their earnings-related press releases following a b",Oklahoma State University, Texas A&M University,,Elizabeth Tori,,
School of Accounting,2021,Non-Financial Government Violations and Financial Voluntary Disclosures,"Non-financial violations are enforcement actions brought by government agencies relating to operational failures, such as environmental damages. In this study, we examine whether a non-financial violation affects managers’ voluntary disclosure decision",Oklahoma State University, Texas A&M University, University of Connecticut,Elizabeth Tori,,
School of Accounting,2021,Non-Financial Violations and the Credibility of Voluntary Disclosures: Evidence from Employee Discrimination Violations,"I examine whether firms’ non-financial violations lead to a loss of credibility in the capital markets. Specifically, I examine whether investors change the magnitude of their reaction to management earnings forecasts and product press releases followi",Oklahoma State University, Texas A&M University,,Elizabeth Tori,,
School of Accounting,2021,Negative Net Debt Firms’ Voluntary Disclosure Practices,NND firms have fewer constraints from creditor monitoring and higher operating variability and higher returns on their operating assets than their financial assets. Does this fact mean NND firms’ management forecast guidance is less useful? If so does ,Oklahoma State University, Texas A&M University, University of Connecticut,Elizabeth Tori,,
School of Accounting,2021,Mutual Fund Disclosure and Board Monitoring,"Mutual funds are required to disclose their fund performance and fees relative to their peers and the board is required to review and approve this disclosure. We find that firms truthfully disclose low fees, but avoid disclosing high fees. We also examin",Oklahoma State University, Texas A&M University, University of Houston,Elizabeth Tori,,
School of Accounting,2021,How Managers Respond to the Effects of Bright-Line Rules: Evidence from Management Forecasts and the Valuation Allowance for Deferred Tax Assets,Firms record a deferred tax assets (DTA) if they expect sufficient taxable income to realize the asset in the future. Management records a valuation allowance (VAA) against the DTA if they believe their firm will generate insufficient taxable income to r,Oklahoma State University, Texas A&M University,,Elizabeth Tori,,
School of Accounting,2021,Can FinTech Competition Improve Sell-Side Research Quality?,"We examine how competition from FinTech influences analyst research quality. We find that firms added to Estimize, a platform that crowdsources short-term earnings forecasts, experience a substantial reduction in consensus bias and a limited increase in ",Oklahoma State University, University of Kentucky, University of Texas at Dallas,Michael C. Wolfe,,
School of Accounting,2021,Corporate Codes of Ethics and Cash Holdings,We examine the relation between corporate codes of ethics and cash holdings. We find a negative association between code of ethics quality and cash holdings which suggests that managers hold less cash when the firm has a strong code of ethics in place. T,Oklahoma State University, University of Texas at El Paso," University of Nebraska, Korea University",Michael C. Wolfe,,
School of Accounting,2021,Earnings Attributes and Credit Ratings,"We investigate the association between different earnings attributes and credit ratings. We examine seven attributes - discretionary accruals, accruals quality, persistence, predictability, smoothness, timeliness, and conservatism. We find that six of th",Oklahoma State University, University of Nebraska, Korea University,Michael C. Wolfe,,
School of Accounting,2021,Accounting Comparability and the Efficiency of Intra-Industry Information Transfer,Prior studies find that the market is inefficient in its reaction to the earnings announcements of industry peers. This study contributes to the literature by showing that this overreaction is related to differences in accounting comparability. The evide,Oklahoma State University,,,Michael C. Wolfe,,
Department of Economics,2021,The Effect of Land Size and Market Distortions on Bolivian Farmers,Access to more land may not lead to income gains for smaller farms in Bolivia. Restrictions on the use of land as collateral cause imperfections in credit and labor markets that lead to lower income as farms reach the institutional threshold for the land,Oklahoma State University, Oklahoma Department of Human Services,,Lee C. Adkins, Bidisha Lahiri,
Department of Economics,2021,Unauthorized Immigration: the theoretical effects of a dual labor market,"The effects on wages, employment, and output in an economy where unskilled labor is employed solely in labor intensive occupations are explored using a two-sector general equilibrium model.",Oklahoma State University,,,Lee C. Adkins,,
Department of Economics,2021,A Shrinkage Estimator for Endogenous Regressor Models and Weak Instruments.,"A shrinkage estimator is proposed that takes a convex combination of two-stage least squares and efficient 2-step GMM estimators. Shrinkage is controlled based on FEFF (see Andrews, 2018).",Oklahoma State University,,,Lee C. Adkins,,
Department of Economics,2021,Promoting Economic Literacy: Combining News Articles and Clicker Questions in a Large Introductory Microeconomics Course,"The author of this article presents a brief introduction to the use of current events news articles in an introductory microeconomics course for business students. Popular press articles are integrated with small-group peer instruction, and student under",Oklahoma State University,,,Laura J. Ahlstrom,,
Department of Economics,2021,Gender and Performance in Intermediate Microeconomics: Does the Format of the Principles of Microeconomics Course Matter?,"This study analyzes the effect that completing an introductory microeconomics course online or face-to-face has on student performance in intermediate microeconomics, paying particular attention to the gender question in online education. We find no sign",Oklahoma State University,,,Laura J. Ahlstrom,,
Department of Economics,2021,Instructor Gender and Student Performance in Introductory Economics Courses: Is There a Role Model Effect?,Past research in economic education has revealed a gender gap in undergraduate economics. Studies also show that the quality of the instructor leads to better outcomes for students and that instructors can act as role models for students. Our study exami,Oklahoma State University,,,Laura J. Ahlstrom,,
Department of Economics,2021,"Are Instructors Role Models Indirectly? Testing the Relationship between Instructor Gender, Course Performance and Undergraduate Economics Major Selection","Prior research has found student performance in introductory economics courses is positively correlated with choosing economics as a major. Although the association between instructor gender and students’ economics major selection is less evident, stud",Oklahoma State University,,,Laura J. Ahlstrom,,
Department of Economics,2021,Grades as Reference Points: Impact on Performance and Motivation,This study examines how students’ grades on an initial exam affects their future test performance. Students who achieve desirable grades on their first tests may not exert less effort on the next test compared to students who earn an initial test grade,Oklahoma State University,,,Laura J. Ahlstrom,,
Department of Economics,2021,Women in the Finance Major: Gender Disparities in Finance Course Completion and Degree Attainment,"This study assesses the gender gap in undergraduate students’ finance course persistence, defined as taking an additional finance course after completing an initial course, as well as gender disparities in students’ finance degree selection. The rese",Oklahoma State University,,,Laura J. Ahlstrom,,
Department of Economics,2021,Quiet Restaurants near Political Power Centers: How Has the Anti-Corruption Campaign Changed a Consumer City?,"China's 2012 Eight-point Regulation, imposed harsh austerity measures on the spending of government officials. The effect of the regulation remains an open question. Using data from a large online review platform for retail stores, we take a spatial diff",Oklahoma State University, Central University of Finance and Economics," Chinese Academy of Sciences, Massachusetts Institute of Technology",Rui Du,,
Department of Economics,2021,High-stakes Examinations and Educational Inequality: Evidence from Transitory Exposure to Air Pollution,"This paper provides the first evidence of the educational inequality that arises from air quality degradation and a minimum-passing-score exam policy. Using unique data on a large-scale high-stakes college English test in China, we study the impact of ra",Oklahoma State University, Tsinghua University," Central University of Finance and Economics, Beijing Jiaotong University",Rui Du,,
Department of Economics,2021,"Higher Education, College Location, and Migration","Using college enrollment data and nationally representative population census data, this paper examines the impact of college education and college location on later-life migration in China. We take advantage of the in- and out-of-province variation in c",Oklahoma State University, Jinan University, Dickinson College,Rui Du,,
Department of Economics,2021,The Network Effect of Air Pollution: Evidence from the Housing Market in China,"This paper examines the housing market reaction to changes in the non-local housing investor attention due to the degraded air quality. Based on a sample of 39 prefectural-level cities in China, we document a strong positive effect of local air pollution",Oklahoma State University, Central University of Finance and Economics," Massachusetts Institute of Technology, Zhejiang University",Rui Du,,
Department of Economics,2021,International Travel Cost and Entrepreneurship Comovement,"Despite the rapid advances in digital communication tools, information exchange and the transmission of tacit knowledge via in-person interactions are still of great importance to entrepreneurs and venture capitalists. Using new international non-stop fl",Oklahoma State University, Massachusetts Institute of Technology,,Rui Du,,
Department of Economics,2021,"Proximity, Knowledge Diffusion, and Technology Similarity: Evidence from the High-speed Rail in China","Using the high-speed rail (HSR) expansion in China as a natural experiment, this paper identifies the effect of travel cost reduction due to HSR connection between cities on technology similarity. We are able to identify similar effects using a wall-city",Oklahoma State University, Southeast University,,Rui Du,,
Department of Economics,2021,"State Business Incentives, Firm Demographics, and Innovation","Technology-based, innovation-driven startups are central to regional productivity, economic development, and job creation in the United States. State and local governments offer numerous and varied programs, financial incentives, and tax breaks to promot",Oklahoma State University, Southeast University,,Rui Du,,
Department of Economics,2021,College Location and Migration: Evidence from China’s Higher Education Expansion,"Using college enrollment data and the 1% national sample-census population data, this paper examines the impact of college education expansion on individual decisions about education and mobility. Our findings suggest that college location impacts colleg",Oklahoma State University, Jinan University, Dickinson College,Rui Du,,
Department of Economics,2021,The effect of trade liberalization on marriage and fertility: Evidence from Indian Districts,We examine the medium-run (1991-2001) and long-run (1991-2011) impacts of the 1991 trade liberalization in India on marriage and fertility rates among young women aged 15-34 years. We exploit the fact that the countrywide tariff reductions varied across ,Oklahoma State University,,,Mehtabul Azam, Shruti Sengupta,
Department of Economics,2021,Trade Liberalization and Human Capital Accumulation: Evidence from Indian Census,"We use the 2011 Indian census data, and exploit the exogeneous nature of Indian trade liberalization and cohorts that attended school before and after the reforms to implement a Difference-in-Difference strategy to estimate the impact of trade-liberaliza",Oklahoma State University,,,Mehtabul Azam,,
Department of Economics,2021,"Household Cooking Fuel Choice in India, 2004-2012: A Panel Multinomial Analysis","Using household level panel data, we examine factors driving the cooking fuel choice in urban and rural India, separately. We find that a clean-break with the use of traditional fuels is less likely in rural areas, but more probable in urban areas. The h",Oklahoma State University,,,Mehtabul Azam, Ying-Min Kuo,
Department of Economics,2021,"Household Income Mobility in India, 1993-2011","Using longitudinal data, we examine income mobility among rural Indian households over 1993-2004 and 2004-2011. Absolute measures of mobility suggest higher income mobility during 2004-2011 compared to 1993-2004, and each social group witnessed higher in",Oklahoma State University,,,Mehtabul Azam,,
Department of Economics,2021,Does access to clean energy reduces women household burden?,"Access to modern energy is one of the most basic requirements for development. In rural areas of developing countries, there are a large number of people who do not have access to LPG and depend on traditional biomass such as wood, crop, and dung for coo",Oklahoma State University,,,Mehtabul Azam, Su Qinghe,
Department of Economics,2021,Trade Liberalization and its impact on Social Group Welfare Gap,"We examine the causal impact of the 1991 Indian trade liberalization on the evolution of conditional welfare gaps across social groups. We hypothesize that the trade reforms would induce foreign competition and thus, reduce the inherent taste-based emplo",Oklahoma State University,,,Mehtabul Azam, Shruti Sengupta,
Department of Economics,2021,Tax Increment Financing and Spatial Spillovers in Oklahoma City: Estimating the Localized Marginal Effects of Proximity to TIF Districts,"Tax increment finance (TIF) is a critical component of local economic development policy. In contrast to previous research, we recognize the limitation of a linear spatial specification. Instead, we adopt a Gaussian-process regression specification to es",Oklahoma State University,Oklahoma City University,,Mary N. Gade,,
Department of Economics,2021,A Localized Analysis of Property Tax Incidence Across Space and Time,"This paper explores the hypothesis that the incidence of the property tax may vary across jurisdictions. We pool observations from 17 independent school districts in Oklahoma County, Oklahoma across 27 years (1982-2008) and investigate the responsiveness",Oklahoma State University, Oklahoma City University,,Mary N. Gade,,
Department of Economics,2021,Child Marriage and the Role of Brides: Descriptive Evidence from Six West African Countries,"Although almost universally banned, child (under the age of 18) remains a pervasive issue throughout the world. In this study, we quantify the importance of the child marriage problem, on which evidence remains surprisingly scarce. To do so, we use data ",Oklahoma State University, Paris-Dauphine University," Paris School of Economics, The World Bank",Harounan Kazianga,,
Department of Economics,2021,"Exposure to Agricultural Technologies and Adoption: The West Africa Agricultural Productivity Program in Ghana, Senegal and Mali","We estimate the effects of increased exposure to agricultural technologies on farmers’ adoption and economic well-being in Ghana, Mali, and Senegal. The program, known as the West Africa Agricultural Productivity Program (WAAPP), aimed at improving agr",Oklahoma State University, University of Ouagadougou, Burkina Faso,Harounan Kazianga,,
Department of Economics,2021,Pathways out of Extreme Poverty: Tackling Psychosocial and Capital Constraints with a Multi-faceted Social Protection Program in Niger,"This analyzes a four-arm randomized evaluation of a multi-faceted economic inclusion intervention delivered by the Government of Niger to female beneficiaries of a national cash transfer program. All three treatment arms include a core package of group savings promotion, coaching, and entrepreneurship training, in addition to the regular cash transfers from the national program. The first variant also includes a lump-sum cash grant and is similar to a traditional graduation intervention (�capital� package). The second variant substitutes the cash grant with psychosocial interventions (�psychosocial� package). The third variant includes the cash grant and the psychosocial interventions (�full� package). The control group only receives the regular cash transfers from the national program. ",Oklahoma State University,Northwestern University,Catholic University of Louvain,Harounan Kazianga,,
Department of Economics,2021,Agricultural Transformation and Farmers' Expectations:  Experimental Evidence from Uganda This paper uses a randomized control trial to study Ugandan subsistence smallholders' decisions to adopt cash crops. A unique way of eliciting farmers price and yie,"This paper uses a randomized control trial to study Ugandan subsistence smallholders' decisions to adopt cash crops. A unique way of eliciting farmers price and yield expectations allows us to investigate the role of farmers' ex-ante beliefs about crop profitability on adoption decisions. We find that the provision of extension services increases oilseeds adoption by 15%, and farmers who under-estimate oilseeds price at baseline are the most likely to adopt the new crops. The results suggest that changes in expectations drive agricultural technology take-up.",Oklahoma State University,University di Milano--Bicocca,Centro Studi L.d'Agliano,Harounan Kazianga,,
Department of Economics,2021,The Effects of Old Age Pension Program on African Young Adults’ Labor Force Participation and Schooling,We examine the effects of South Africa’s Old Age Pension (OAP) program on labor force participation and schooling of African young adults aged 15-34 using a regression discontinuity design. The results suggest that OAP Program has a significant seconda,Oklahoma State University, Ministry of Finance, Liberia,Harounan Kazianga,,
Department of Economics,2021,A Decade Later: The Long-Term Effects on Education and Young Adults Outcomes of School Infrastructure,"We evaluate the long-term effect of a “girl-friendly” primary school program in Burkina Faso, using a regression discontinuity design. The intervention consisted in upgrading existing three-classroom schools to six-classroom schools in order to accom",Oklahoma State University, University Texas, Mathematics Policy Research,Harounan Kazianga,,
Department of Economics,2021,Evidence from a Randomized Evaluation of the Household Welfare Impacts of Conditional and Unconditional Cash Transfers Given to Mothers or Fathers.,"We conducted a randomized control trial in rural Burkina Faso to estimate the impact of alternative cash transfer delivery mechanisms on education, health, and household welfare outcomes. The two-year pilot program randomly distributed cash transfers tha",Oklahoma State University, The University of Illinois at Urbana Champaign, The World Bank,Harounan Kazianga,,
Department of Economics,2021,"Uncertainty Shocks, Asymmetric Dynamics, and Inflation Targeting: A Nonlinear Approach","This study investigates the impact of uncertainty shocks on macroeconomic activity in developed and emerging economies.  A Smooth Transition VAR model is employed to document the state-dependent dynamics of two distinct types of uncertainty shocks, finan",Oklahoma State University, Bank of Ozark, AR,J.B. Kim,,
Department of Economics,2021,Oil Price Shocks and Macroeconomic Dynamics: A Nonlinear Approach,"We study the business cycle-dependent nonlinear effects of global oil price shocks on US aggregate economy.  For this purpose, we decompose the oil price changes into supply and demand shocks and assess the state-dependent dynamics of structural shocks o",Oklahoma State University,  National Assembly Research Service,,J.B. Kim,,
Department of Economics,2021,"FDI, Economic Growth and Convergence Clubs: A Nonlinear Approach",To study the relationship between FDI and growth with more homogeneous countries we employ an array of convergence tests designed to capture nonlinear transitional dynamics with 62 countries spanning the period of 1987-2016.  Our new empirical evidence t,Oklahoma State University, Millikin University,,J.B. Kim,,
Department of Economics,2021,"Financial Development, Innovation, and Market Structure: Evidence from Industry Level Data","We study the nonlinear effects of financial development on innovation as well as the potential mechanism, using a unique Research Quotient database. Our findings can be summarized as follows. 1) Significant inverted-U effects of financial development on ",Oklahoma State University,,,J.B. Kim,,
Department of Economics,2021,Effect of India's De-monetization on its Exports,The Indian economy has a large segment of small businesses as well as a significant informal sector which were primarily cash based. The government’s surprise move to invalidate existing currencies overnight in an attempt to clear unaccounted cash flow,Oklahoma State University,,,Bidisha Lahiri, Anurag Deb,
Department of Economics,2021,Effect of Prenatal Care visits on Antenatal Outcomes: A survival model analysis,"The number of weeks of pregnancy at which antenatal care was first received, the number times of antenatal care was received and whether antenatal care was received in the last three months of pregnancy are three important but similar indicators of anten",Oklahoma State University, University of Kalyani, India,Bidisha Lahiri,,
Department of Economics,2021,Entrepreneurial Effect of Income Program in India,We examine the impact of on an ambitious employment and income guarantee program for the poor in India on family entrepreneurial activities. We find that participation in this program affects family entrepreneurship both at the extensive and intensive ma,Oklahoma State University,,,Bidisha Lahiri, Richard Daramola,
